date,config_hash,workload,clients,ops,repetitions,seed,value_bytes,environment_os,environment_arch,environment_note,throughput_ops_per_sec,p50_ns,p95_ns,p99_ns,p999_ns,max_ns
2025-12-16,cbdd1456b83bd97b,A,1,20000,3,13414401,128,macos,aarch64,closed-loop deterministic local model; loopback replication latency is not measured,2864548,125,125,125,2542,41334
2025-12-16,0033da58c44ecf5a,A,2,20000,3,13414401,128,macos,aarch64,closed-loop deterministic local model; loopback replication latency is not measured,3075976,125,126,126,2042,10293
2025-12-16,2de54dbb4b627fa0,A,4,20000,3,13414401,128,macos,aarch64,closed-loop deterministic local model; loopback replication latency is not measured,3172036,126,126,126,1875,13375
2025-12-16,fd1c28b233ad6504,A,8,20000,3,13414401,128,macos,aarch64,closed-loop deterministic local model; loopback replication latency is not measured,3359509,91,126,126,1833,11126
2025-12-16,3445c1abccef872f,A,16,20000,3,13414401,128,macos,aarch64,closed-loop deterministic local model; loopback replication latency is not measured,3018431,126,130,130,1963,10089
